"eyes","face.forward","chin.up","attention"
"1",0,1,0,0
"2",1,0,0,0
"3",1,1,0,1
"4",0,0,0,0
"5",1,0,1,1
"6",1,0,1,1
"7",1,0,0,0
"8",0,1,1,1
"9",0,0,1,0
"10",0,1,1,1
"11",1,0,0,0
"12",1,0,0,0
"13",1,1,1,1
"14",0,1,1,1
"15",1,0,0,0
"16",0,1,1,1
"17",0,1,0,0
"18",1,0,1,1
"19",0,1,1,1
"20",0,1,1,1
"21",1,0,1,1
"22",1,1,1,1
"23",1,0,0,0
"24",1,1,0,1
"25",1,1,1,1
"26",0,1,0,0
"27",0,1,1,1
"28",1,0,1,1
"29",0,0,0,0
"30",0,0,1,0
"31",0,1,0,0
"32",0,1,0,0
"33",1,1,1,1
"34",0,1,0,0
"35",0,1,1,1
"36",0,1,1,1
"37",1,0,1,1
"38",0,1,0,0
"39",1,0,0,0
"40",1,1,1,1
"41",1,1,0,1
"42",1,1,1,1
"43",0,1,0,0
"44",0,0,1,0
"45",0,1,1,1
"46",1,0,0,0
"47",1,1,0,1
"48",1,1,0,1
"49",0,0,0,0
"50",1,1,1,1
"51",1,1,1,1
"52",0,0,1,0
"53",0,1,1,1
"54",0,0,1,0
"55",1,0,1,1
"56",0,1,1,1
"57",0,1,1,1
"58",0,1,0,0
"59",1,1,1,1
"60",1,0,1,1
"61",1,1,0,1
"62",1,0,0,0
"63",1,0,1,1
"64",0,0,0,0
"65",0,0,0,0
"66",0,1,0,0
"67",1,1,1,1
"68",1,1,0,1
"69",0,1,1,1
"70",0,0,1,0
"71",1,1,1,1
"72",1,1,0,1
"73",1,0,1,1
"74",1,0,1,1
"75",0,1,0,0
"76",0,0,1,0
"77",0,1,1,1
"78",0,0,0,0
"79",1,1,0,1
"80",1,0,1,1
"81",1,1,1,1
"82",0,0,0,0
"83",1,1,0,1
"84",0,1,1,1
"85",1,0,1,1
"86",0,0,0,0
"87",0,0,1,0
"88",0,1,0,0
"89",1,0,1,1
"90",1,0,1,1
"91",0,1,0,0
"92",1,0,1,1
"93",0,1,1,1
"94",0,1,1,1
"95",0,0,1,0
"96",0,0,1,0
"97",1,0,0,0
"98",0,0,0,0
"99",1,0,0,0
"100",1,1,1,1
